
C:\work\tx>java -cp out oracle.common.KBarBuilder input/20151119_MTX.txt 
Too few sequence #2
8373.0 8468.0 8323.0 8446.0
8373.0 8468.0 8323.0 8452.0
8373.0 8468.0 8323.0 8453.0
8373.0 8468.0 8323.0 8457.0
8373.0 8468.0 8323.0 8455.0
8373.0 8468.0 8323.0 8446.0
8373.0 8468.0 8323.0 8366.0
8373.0 8468.0 8323.0 8379.0
8373.0 8468.0 8323.0 8376.0
8373.0 8468.0 8323.0 8367.0
8373.0 8468.0 8323.0 8373.0
8373.0 8468.0 8323.0 8380.0
8373.0 8468.0 8323.0 8355.0
8373.0 8468.0 8323.0 8381.0
8373.0 8468.0 8323.0 8357.0
8373.0 8468.0 8323.0 8347.0
8373.0 8468.0 8323.0 8353.0
8373.0 8468.0 8323.0 8341.0
8373.0 8468.0 8323.0 8348.0
8373.0 8468.0 8323.0 8325.0
8373.0 8468.0 8323.0 8332.0
8373.0 8468.0 8323.0 8343.0
8373.0 8468.0 8323.0 8351.0
8373.0 8468.0 8323.0 8356.0
8373.0 8468.0 8323.0 8374.0
8373.0 8468.0 8323.0 8374.0
8373.0 8468.0 8323.0 8389.0
8373.0 8468.0 8323.0 8387.0
8373.0 8468.0 8323.0 8390.0
8373.0 8468.0 8323.0 8395.0
8373.0 8468.0 8323.0 8375.0
8373.0 8468.0 8323.0 8368.0
8373.0 8468.0 8323.0 8381.0
8373.0 8468.0 8323.0 8389.0
8373.0 8468.0 8323.0 8390.0
8373.0 8468.0 8323.0 8403.0
8373.0 8468.0 8323.0 8406.0
8373.0 8468.0 8323.0 8411.0
8373.0 8468.0 8323.0 8413.0
8373.0 8468.0 8323.0 8416.0
8373.0 8468.0 8323.0 8416.0
8373.0 8468.0 8323.0 8414.0
8373.0 8468.0 8323.0 8421.0
8373.0 8468.0 8323.0 8424.0
8373.0 8468.0 8323.0 8429.0
8373.0 8468.0 8323.0 8436.0
8373.0 8468.0 8323.0 8441.0
8373.0 8468.0 8323.0 8450.0
8373.0 8468.0 8323.0 8451.0
8373.0 8468.0 8323.0 8454.0
8373.0 8468.0 8323.0 8456.0
8373.0 8468.0 8323.0 8449.0
8373.0 8468.0 8323.0 8375.0
8373.0 8468.0 8323.0 8363.0
8373.0 8468.0 8323.0 8357.0
8373.0 8468.0 8323.0 8338.0
8373.0 8468.0 8323.0 8331.0
8373.0 8468.0 8323.0 8352.0
8373.0 8468.0 8323.0 8386.0
8373.0 8468.0 8323.0 8378.0
8373.0 8468.0 8323.0 8371.0
8373.0 8468.0 8323.0 8415.0
8373.0 8468.0 8323.0 8454.0
8373.0 8468.0 8323.0 8453.0
8373.0 8468.0 8323.0 8377.0
8373.0 8468.0 8323.0 8334.0
8373.0 8468.0 8323.0 8380.0
8373.0 8468.0 8323.0 8365.0
8373.0 8468.0 8323.0 8412.0
8373.0 8468.0 8323.0 8336.0
8373.0 8468.0 8323.0 8410.0
8373.0 8468.0 8323.0 8427.0
8373.0 8468.0 8320.0 8450.0
8373.0 8468.0 8304.0 8332.0
8373.0 8468.0 8304.0 8360.0
8373.0 8468.0 8304.0 8349.0
8373.0 8468.0 8304.0 8361.0
8373.0 8468.0 8304.0 8376.0
8373.0 8468.0 8304.0 8386.0
8373.0 8468.0 8304.0 8386.0
8373.0 8468.0 8304.0 8400.0
8373.0 8468.0 8304.0 8425.0
8373.0 8468.0 8304.0 8431.0

